run_id,placement_mode,total_num_envs,micro_batch_size,timestamp,rollout_avg_time_s,rollout_total_epochs,step_time_s,generate_rollouts_time_s,actor_run_training_time_s,env_interact_time_s,rollout_generate_one_epoch_time_s,monitor_duration_s,gpu01_mem_avg_mb,gpu01_mem_max_mb,gpu01_mem_stable_mb,gpu01_util_avg_pct,gpu01_util_max_pct,gpu23_mem_avg_mb,gpu23_mem_max_mb,gpu23_mem_stable_mb,gpu23_util_avg_pct,gpu23_util_max_pct,rollout_phase_gpu01_mem_avg_mb,rollout_phase_gpu23_mem_avg_mb,rollout_phase_duration_s,training_phase_gpu01_mem_avg_mb,training_phase_gpu23_mem_avg_mb,training_phase_duration_s,cpu_avg_util_pct,cpu_max_util_pct,mem_avg_util_pct,mem_max_util_pct
env4_mbs16,split,4,16,20260401-051455,31.92,8.0,409.108,257.3,57.226,255.9,255.3,590.01,6570.825,17089.0,9351.183333333332,9.358333333333333,100.0,14307.65,31247.0,19300.366666666665,11.4,100.0,9792.592592592593,14281.727272727272,315.36,9346.017857142857,19430.75,274.65,3.5319999999999996,11.85,18.555833333333332,24.81
env4_mbs32,split,4,32,20260401-052456,30.05,8.0,394.341,242.2,55.714,240.9,240.4,570.009,6605.043103448276,16152.0,9404.551724137931,9.810344827586206,56.0,14661.172413793103,33221.0,19772.0,11.422413793103448,100.0,9870.346153846154,14843.333333333334,300.4,9423.222222222223,19942.14814814815,269.60900000000004,3.418965517241379,11.28,18.54327586206897,24.87
env8_mbs1,split,8,1,20260401-053435,42.47,8.0,981.76,343.3,299.7,340.8,339.7,1170.01,10563.101694915254,18173.0,10966.135593220339,29.60593220338983,100.0,16033.203389830509,30265.0,18904.610169491527,16.093220338983052,100.0,14239.5,11328.692307692309,399.76,12517.031578947368,18362.57894736842,770.25,4.46186440677966,11.71,21.323559322033905,27.54
env8_mbs2,split,8,2,20260401-055417,41.46,8.0,838.876,335.3,192.9,332.7,331.7,1010.007,10499.686274509804,18173.0,10961.93137254902,31.941176470588236,100.0,15821.970588235294,30265.0,18675.313725490196,13.299019607843137,100.0,17553.19230769231,14842.952380952382,391.68,11865.147887323943,18337.169014084506,618.327,4.7982352941176485,12.21,21.24274509803921,27.58
env8_mbs4,split,8,4,20260401-061119,41.53,8.0,697.057,335.5,141.8,333.3,332.3,880.009,9458.88202247191,18135.0,10708.775280898877,22.702247191011235,100.0,15248.505617977527,30247.0,18187.314606741573,13.067415730337078,100.0,14391.477272727272,15631.466666666667,392.24,10934.53125,18499.020833333332,487.769,4.458651685393258,12.59,20.879550561797753,27.66
env8_mbs8,split,8,8,20260401-062603,43.45,8.0,815.346,350.5,122.1,348.4,347.6,990.009,10532.59,18173.0,10913.3,33.715,100.0,15689.54,30269.0,18657.24,12.8,100.0,14502.0,12623.153846153846,407.6,12732.441558441558,18242.246753246753,582.409,5.116200000000001,13.85,20.917299999999997,27.68
env8_mbs16,split,8,16,20260401-064246,43.87,8.0,694.493,354.5,117.2,352.1,351.0,870.01,9699.545454545454,18116.0,10958.125,21.886363636363637,100.0,15610.75,31247.0,18970.43181818182,15.727272727272727,100.0,14554.4375,15746.78125,410.96,10954.402173913044,18905.41304347826,459.05,4.642386363636363,12.8,21.043181818181818,27.61
env8_mbs32,split,8,32,20260401-065725,39.68,8.0,547.864,320.0,114.2,318.1,317.4,720.009,8353.315068493152,15939.0,11000.246575342466,12.342465753424657,92.0,15456.72602739726,28943.0,19734.835616438355,13.952054794520548,100.0,11222.2,15501.142857142857,377.44,10999.914285714285,19831.685714285715,342.569,3.7976712328767124,11.51,21.18,27.96
env16_mbs1,split,16,1,20260401-070938,66.99,8.0,1422.99,547.3,589.4,542.1,539.2,1600.008,12738.17701863354,20292.0,13932.7950310559,20.726708074534162,100.0,16714.94409937888,30269.0,18809.844720496894,20.108695652173914,100.0,15411.964285714286,16369.52,595.92,13893.0,18538.91089108911,1004.0880000000001,4.639627329192547,15.76,26.807329192546582,33.48
env16_mbs2,split,16,2,20260401-073625,66.23,8.0,1288.088,557.2,384.9,552.4,550.3,1460.01,13078.622448979591,20342.0,13899.224489795919,27.707482993197278,100.0,16459.57823129252,30285.0,18571.25850340136,20.31972789115646,100.0,17082.926829268294,16346.591836734693,589.84,13884.164772727272,18390.625,870.17,5.289863945578231,19.59,26.1943537414966,33.41
env16_mbs4,split,16,4,20260401-080058,68.27,8.0,954.968,554.5,291.1,548.8,546.4,1160.01,11341.799145299145,15939.0,13893.358974358975,17.44017094017094,100.0,15657.529914529914,30255.0,18663.700854700855,18.72222222222222,100.0,13716.675,16323.583333333334,606.16,13891.32142857143,18716.76785714286,553.85,4.111111111111112,11.75,25.83487179487179,33.49
env16_mbs8,split,16,8,20260401-082027,65.6,8.0,937.952,551.2,273.9,545.8,543.7,1130.01,11385.083333333334,13939.0,13678.947368421053,17.29385964912281,100.0,16064.692982456141,30269.0,18823.01754385965,21.81140350877193,100.0,13474.481481481482,16188.020408163266,584.8,13922.268518518518,18872.036363636365,545.21,4.129385964912281,15.93,26.19280701754386,33.62
env16_mbs16,split,16,16,20260401-083921,65.29,8.0,1358.005,562.1,260.3,558.4,556.4,1540.009,13331.725806451614,20342.0,13853.05806451613,36.29354838709678,100.0,16358.896774193548,31199.0,18469.25806451613,24.083870967741934,100.0,15264.333333333334,12098.68,582.32,15131.568181818182,18058.636363636364,957.689,6.1572258064516125,22.7,25.889483870967748,33.46
